ticker,theme,shortName,marketCap,trailingPE,forwardPE,totalRevenue,revenueGrowth,grossMargins,operatingMargins,profitMargins,freeCashflow,totalCash,totalDebt,fiftyTwoWeekHigh,fiftyTwoWeekLow,currentPrice
AMBA,robotics,"Ambarella, Inc.",2712808448,,53.900932,405187008,0.169,0.58817,-0.19347,-0.17185,47412876,277800000,13271000,96.69,48.3,61.84
OUST,robotics,"Ouster, Inc.",2492600320,,-823.1111,185330000,0.489,0.47694,-0.39549,-0.30122,-46808624,173118000,17385000,63.79,16.4,37.04
NOVT,robotics,Novanta Inc.,5296054784,106.221436,35.891422,1004940992,0.104,0.44232,0.116969995,0.053460002,87253000,388799008,291335008,171.85,98.27,148.71
SYM,robotics,Symbotic Inc.,24899893248,,57.18048,2517042944,0.231,0.2041,0.010880001,-0.0029300002,331211488,2009435008,27925000,87.88,38.185,41.25
SERV,robotics,Serve Robotics Inc.,433109280,,-2.8277779,5195000,5.782,0.0,-16.734919,0.0,-86519248,187478000,4818000,18.64,5.02,5.09
RR,robotics,Richtech Robotics Inc.,357753568,,,4935000,-0.088,0.55826,-10.29555,0.0,133000,328494016,607000,7.43,1.53,1.6
LMT,defense,Lockheed Martin Corporation,117303844864,24.625847,15.858381,75106000896,0.003,0.09906,0.110039994,0.06382,3987124992,1894000000,20696999936,692.0,410.11,508.77
RTX,defense,RTX Corporation,260596695040,36.374058,25.503117,90372997120,0.087,0.20212999,0.13182001,0.080290005,7233375232,6817999872,38934999040,214.5,143.56,193.51
NOC,defense,,74080395264,16.339912,17.28862,42367000576,0.044,0.20517999,0.11689,0.108009994,2071624960,2090000000,17574000640,774.0,493.84,521.57
GD,defense,General Dynamics Corporation,99675152384,23.195719,20.234848,53808001024,0.103,0.15241,0.10541,0.08068,5289500160,3654000128,9831999488,380.71,293.95,368.58
LHX,defense,"L3Harris Technologies, Inc.",52537040896,30.586767,20.685488,12856000512,1.9,0.30414,0.097270004,0.103690006,,1001000000,7926000128,379.23,260.22,282.01
BA,defense,Boeing Company (The),168720351232,84.59684,52.34031,92184002560,0.14,0.048249997,0.01715,0.024600001,2554249984,20177999872,49614000128,254.35,176.77,214.03
GE,defense,,361932914688,41.135612,39.27408,50638999552,0.211,0.31051,0.20571,0.17716,6594625024,9944999936,20230000640,382.97,254.66,348.83
HWM,defense,Howmet Aerospace Inc.,109001277440,63.35581,45.010258,8622999552,0.191,0.35046002,0.28188,0.20225,1192749952,2435000064,4848000000,290.63,169.45,272.43
TDG,defense,,67927425024,37.879913,25.85603,9502999552,0.183,0.59718,0.46659002,0.21909,1524875008,3891000064,32003000320,1623.83,1123.61,1214.43
HEI,defense,,47882526720,61.298748,49.469517,4911297024,0.253,0.40060002,0.25473,0.16078,708155008,210335008,2587290112,369.48,256.11,342.66
CW,defense,,26148433920,51.81845,41.35403,3606414080,0.134,0.37171,0.17557,0.14171,523196256,343447008,1148382976,808.16,463.0,707.84
DRS,defense,"Leonardo DRS, Inc.",11774877696,41.252335,30.668324,3695000064,0.059,0.24357,0.09102,0.07848,264624992,328000000,271000000,50.59,32.43,44.14
MRCY,defense,Mercury Systems Inc,5768958976,,62.155117,966945984,0.115,0.28683,0.031630002,-0.014579999,97339000,331800000,656472000,128.45,50.13,96.08
TXT,defense,Textron Inc.,15907363840,17.458017,12.557862,15187999744,0.118,0.17836,0.08011,0.0615,622374976,1508999936,4215000064,101.57,75.8,91.48
AXON,defense,"Axon Enterprise, Inc.",41129627648,204.112,48.26105,2983247872,0.337,0.59463,0.03748,0.06905,62617500,736972992,1840359040,885.92,339.01,510.28
KTOS,defense,Kratos Defense & Security Solut,8631544832,270.7647,42.18446,1415200000,0.226,0.22886999,0.01779,0.020769998,-106725000,1464300032,185400000,134.0,45.58,46.03
AVAV,defense,"AeroVironment, Inc.",7196462080,,31.379784,1976845056,1.333,0.25325,0.02812,-0.13411,-251387504,632297024,834788992,417.86,135.2,142.2
ACHR,defense,Archer Aviation Inc.,3387120128,,-4.752628,1900000,,0.15788999,-157.625,0.0,-417224992,1775900032,121800000,14.62,4.3,4.44
JOBY,defense,"Joby Aviation, Inc.",7111737856,,-14.46,77671000,,0.38032,-9.63375,0.0,-380630368,2466189056,747726016,20.95,6.89,7.23
KRMN,defense,Karman Holdings Inc.,6118738944,200.73912,49.864994,522585984,0.51,0.41034,0.1551,0.057329997,-40082624,73798000,866992000,118.38,44.0,46.17
RKLB,defense,Rocket Lab Corporation,42250244096,,2254.0002,679577984,0.635,0.36556,-0.22356,-0.26872,-214999376,1383351040,138670000,151.0,37.57,67.62
LUNR,defense,"Intuitive Machines, Inc.",2169315328,,-270.4,334264992,1.987,0.096990004,-0.10295,-0.32694,-32115124,231624000,455172992,46.75,7.78,13.52
ASTS,defense,"AST SpaceMobile, Inc.",22433599488,,-222.13683,84935000,19.522,0.44823003,-10.13994,0.0,-1412748416,3029591040,2991408128,133.86,36.08,57.8
RDW,defense,Redwire Corporation,2018074112,,-20.609756,370958016,0.579,0.12858,-0.71836,-0.809,-71324128,144506000,131888000,26.64,4.87,8.45
PL,defense,Planet Labs PBC,8008364544,,6747.7476,335612000,0.421,0.55579,-0.30459,-1.11171,84853752,730835008,488035008,51.76,5.87,22.47
IRDM,defense,Iridium Communications Inc,4946038784,47.151516,39.392406,875838016,0.019,0.7157,0.23150998,0.12052,252985376,111644000,1788955008,57.18,15.65,46.68
VOYG,defense,"Voyager Technologies, Inc.",1534889600,,-18.766483,167158000,0.021,0.13606,-1.26673,-0.72900003,-229552256,429360992,491320992,52.4,17.41,25.9
LDOS,defense,"Leidos Holdings, Inc.",13393636352,9.750916,8.120106,17329000448,0.037,0.17906,0.12227,0.08154,1194749952,457000000,6944000000,205.77,98.86,106.48
BAH,defense,,7820898816,9.450725,9.472126,11217000448,-0.065,0.22358999,0.09486,0.07587,785374976,728000000,4121999872,120.05,59.5,65.21
CACI,defense,"CACI International, Inc.",10196462592,19.049112,14.787129,9162865664,0.085,0.32558998,0.097349994,0.0586,446507136,159644000,5616314880,683.5,434.7,461.56
SAIC,defense,Science Applications Internatio,4883395584,12.993251,10.499973,7290999808,0.015,0.12605,0.08762,0.055549998,418124992,109000000,2675000064,123.41,81.08,115.51
LLY,health,,1051461156864,41.842087,26.255041,72248999936,0.555,0.82832,0.49386,0.34986,9156599808,5281999872,43370000384,1249.45,623.78,1179.11
NVO,health,,222607147008,12.067146,14.920657,327799996416,0.24,0.83195996,0.61574,0.37205002,-12039249920,21625999360,146381996032,71.8,35.12,50.32
VKTX,health,"Viking Therapeutics, Inc.",4305197568,,-8.122086,,,0.0,0.0,0.0,-177354752,602963968,0,43.15,22.959,37.08
HIMS,health,"Hims & Hers Health, Inc.",7601070592,,36.898876,2369731072,0.038,0.72919,-0.07897,-0.00559,174305120,750875008,1132036992,70.43,13.74,32.84
TEM,health,"Tempus AI, Inc.",9421763584,,-662.75104,1364167936,0.361,0.63389,-0.24334998,-0.22205,-55760000,639072000,1318531968,104.32,41.73,52.47
RXRX,health,"Recursion Pharmaceuticals, Inc.",1563094656,,-3.1282198,66408000,-0.561,0.0,-19.85553,0.0,-177795632,654473024,72375000,7.18,2.77,2.945
SDGR,health,"Schrodinger, Inc.",1144721408,,-9.228915,254904992,-0.016,0.55329,-0.83285004,-0.40597,-49420624,398959008,107008000,23.75,10.945,15.32
WGS,health,GeneDx Holdings Corp.,1884595968,,57.513023,442678016,0.174,0.69557,-0.25607002,-0.17577,3643375,170684992,168192000,170.87,32.21,63.48
ISRG,health,"Intuitive Surgical, Inc.",122334937088,39.70345,28.834116,11034399744,0.185,0.66769,0.33745,0.28445998,,8625500160,0,603.88,344.55,345.42
SYK,health,Stryker Corporation,122625605632,37.021988,19.132824,25269999616,0.026,0.64697,0.17824,0.13205,4359875072,2964999936,15233999872,404.87,281.0,319.87
BSX,health,Boston Scientific Corporation,65444216832,18.422592,11.861274,20614000640,0.116,0.68943,0.20603001,0.17294,2807124992,1452999936,11029000192,109.5,42.2,44.03
EW,health,Edwards Lifesciences Corporatio,49363337216,46.34054,25.498339,6303499776,0.167,0.77866,0.31219998,0.1739,902137472,3671500032,702899968,96.29,72.3,85.73
MDT,health,,106499751936,22.30563,12.989891,36364001280,0.099,0.65309,0.22045,0.13203,4625375232,9219999744,29148999680,106.33,73.31,83.2
ABT,health,,175365750784,28.201681,16.595623,46584999936,0.13,0.56767,0.14151,0.116450004,,7295000064,34136000512,137.49,81.97,100.68
DXCM,health,"DexCom, Inc.",29577164800,32.896996,24.906822,4817900032,0.15,0.61504,0.2142,0.19311,1056637504,2415200000,1384800000,89.98,54.11,76.65
PODD,health,Insulet Corporation,11363561472,38.33177,20.36975,2900800000,0.339,0.71008,0.1603,0.10438,253375008,480400000,1014000000,354.88,138.79,164.06
GEHC,health,GE HealthCare Technologies Inc.,28690024448,15.1247,11.76227,20978999296,0.074,0.39144,0.11089,0.091000006,1483624960,2260999936,10577000448,89.77,58.75,63.07
TMO,health,,197880987648,29.241077,19.536886,45197000704,0.062,0.40932,0.17892,0.15151,5520625152,3256000000,43161001984,643.99,403.36,532.48
DHR,health,Danaher Corporation,144264888320,39.501938,22.063656,24778000384,0.037,0.58992,0.22937,0.14887999,4568500224,5701000192,19683999744,242.8,160.93,203.83
A,health,"Agilent Technologies, Inc.",37128503296,26.397593,19.882755,7232000000,0.1,0.52641,0.23706,0.19552,930625024,1807000064,3542000128,160.27,108.35,131.46
MEDP,health,"Medpace Holdings, Inc.",15357400064,33.79824,28.679852,2678267904,0.265,0.71900004,0.20025998,0.1719,490738880,652681024,146094000,628.916,306.704,537.73
VRTX,health,Vertex Pharmaceuticals Incorpor,123260600320,28.821957,22.681894,12218000384,0.078,0.54390997,0.38126,0.35507,2783225088,7246700032,1986499968,533.67,362.5,485.65
REGN,health,"Regeneron Pharmaceuticals, Inc.",70943522816,16.528824,12.363912,14919600128,0.19,0.43885,0.20658001,0.29648,3273349888,8753699840,2706200064,821.11,541.0,676.69
CRSP,health,CRISPR Therapeutics AG,4705571328,,-12.288526,4103000,0.686,0.0,-89.33333,0.0,-260895744,2441785088,787641984,78.48,44.12,47.78
NTLA,health,"Intellia Therapeutics, Inc.",1589340800,,-6.469795,66092000,-0.095,0.0,-6.68075,0.0,-235232880,375985984,80490000,28.25,7.95,11.375
BEAM,health,Beam Therapeutics Inc.,2832264960,,-5.817443,164011008,3.249,-1.46899,-3.37813,-0.40229,-233555744,1211651968,250822000,38.26,15.6,27.53
ILMN,health,"Illumina, Inc.",28240144384,33.87477,31.459738,4392999936,0.048,0.6829,0.18332,0.19417,845625024,1155000064,2544000000,196.66,88.0,186.65
EXAS,health,,,,,,,,,,,,,,,
GH,health,"Guardant Health, Inc.",20668350464,,-359.8107,1080215040,0.483,0.64896005,-0.40227002,-0.40102002,-85448128,1102759936,1704556032,174.08,40.35,155.87
NTRA,health,"Natera, Inc.",38867222528,,-1325.8588,2500926976,0.388,0.65066004,-0.123900004,-0.09049,136918256,1087932032,240080992,288.04,131.811,271.39
ABBV,health,AbbVie Inc.,449631125504,124.75001,15.63166,62819000320,0.124,0.72026,0.32156,0.05786,20811624448,9390999552,72912003072,261.64,184.63,254.49
JNJ,health,Johnson & Johnson,609122123776,29.320972,19.727968,97929003008,0.066,0.68097,0.28605,0.21482,,22051000320,54987001856,269.43,162.78,253.04
PLTR,outlier,Palantir Technologies Inc.,317356179456,148.74158,63.204235,5224174080,0.847,0.84073997,0.46183997,0.43673,1752997120,8026413056,211976992,207.52,106.37,132.38
GLXY,outlier,Galaxy Digital Inc.,8433538560,,297.68787,58713018368,-0.206,1.0,0.95945,-0.0027599998,,1534283008,4651845120,45.92,16.43,21.63
GEV,outlier,GE Vernova Inc.,284262760448,30.95815,42.98347,39374999552,0.163,0.20282,0.05461,0.23809999,9315624960,9772000256,3755000064,1195.94,530.16,1057.84
TSLA,outlier,"Tesla, Inc.",1430329884672,346.21817,149.10927,97878999040,0.158,0.19065,0.04203,0.03946,5251999744,44743000064,15889999872,498.83,297.82,380.84
SPCX,outlier,Space Exploration Technologies ,1633467367424,,137.30898,19300999168,0.154,0.48826,-0.41627997,-0.44998002,,23675000832,30602999808,225.64,122.12,123.99
UBER,outlier,"Uber Technologies, Inc.",147499499520,17.980148,16.277147,53687001088,0.145,0.39635,0.14565,0.15907,6536625152,6090999808,12419000320,101.99,67.19,72.46
COIN,outlier,"Coinbase Global, Inc.",41394954240,57.7647,33.10926,6285964800,-0.308,0.85475,-0.07097,0.12736,2407562752,10438001664,7964423168,436.38,139.18,157.12
HOOD,outlier,"Robinhood Markets, Inc.",90014490624,48.524273,32.505096,4613000192,0.151,0.92239,0.38519,0.41123,,19270000640,13610000384,153.86,63.515,99.96
SMH,etf,,77198270464,36.027866,,,,,,,,,,671.83,279.19,556.53
IGV,etf,iShares Expanded Tech-Software ,13542322176,32.014446,,,,,,,,,,117.99,73.93,92.8
AIQ,etf,Global X Artificial Intelligenc,10413852672,25.917747,,,,,,,,,,70.26,43.195,58.7
GRID,etf,First Trust NASDAQ Clean Edge S,12076603392,30.198353,,,,,,,,,,199.99,139.18,177.85
URA,etf,,5997526528,32.94671,,,,,,,,,,62.28,35.64,38.73
XLU,etf,State Street Utilities Select S,23111417856,20.853619,,,,,,,,,,47.8,41.15,45.17
BOTZ,etf,Global X Robotics & Artificial ,3517117696,33.741367,,,,,,,,,,41.71,31.875,34.4
ROBO,etf,ROBO Global Robotics and Automa,2048980736,28.504469,,,,,,,,,,90.51,60.724,77.89
ARKQ,etf,ARK Autonomous Technology & Rob,2214976768,38.323933,,,,,,,,,,144.416,92.56,116.14
ITA,etf,iShares U.S. Aerospace & Defens,14444112896,36.516342,,,,,,,,,,251.49,190.16,230.73
PPA,etf,Invesco Aerospace & Defense ETF,8324131840,33.04192,,,,,,,,,,186.3,142.07,168.51
ARKX,etf,ARK Space & Defense Innovation ,933603136,31.975933,,,,,,,,,,37.89,24.771,30.3
XLV,etf,,40598945792,28.987007,,,,,,,,,,165.61,127.96,161.09
XBI,etf,State Street SPDR S&P Biotech E,10734887936,,,,,,,,,,,165.71,84.39,154.26
IHI,etf,iShares U.S. Medical Devices ET,3023981056,29.007734,,,,,,,,,,64.71,47.37,50.51
ARKG,etf,ARK Genomic Revolution ETF,1729676032,,,,,,,,,,,44.465,22.73,39.87
SPY,etf,State Street SPDR S&P 500 ETF T,781188857856,26.736263,,,,,,,,,,760.4,619.29,743.29
QQQ,etf,"Invesco QQQ Trust, Series 1",490103177216,30.85547,,,,,,,,,,748.65,551.68,695.33
IWM,etf,iShares Russell 2000 Index Fund,82970353664,18.217472,,,,,,,,,,302.72,212.34,294.04
